Country,Year,Risk Points for Inflation,Risk Points for GDP per Head,Risk Points for GDP Growth,Risk Points for Budget Balance,Risk Points for Current Account as % of GDP,Aggregate Economic Risk
Egypt,1999,9,0.57,9.13,7,10.5,36.2
Egypt,2000,8.96,0.58,9.21,7,10.63,36.38
Egypt,2001,8.5,0.5,9,7,10.5,35.5
Egypt,2002,8.88,0.88,7.38,5.63,11.13,33.9
Egypt,2003,8.5,0.5,7.25,6.5,11.13,33.88
Egypt,2004,8.25,0.5,8.63,5.5,12.75,35.63
Egypt,2005,8,0.5,8.79,4.08,13.21,34.58
Egypt,2006,8.38,0.5,9.5,2.5,13,33.88
Egypt,2007,7.67,0.5,9.92,3.83,13,34.92
Egypt,2008,5.92,0.5,10,4.17,12.29,32.88
Egypt,2009,6.75,0.5,9,4,11.5,31.75
Egypt,2010,7.08,0.5,9.5,4.29,10.71,32.08
Egypt,2011,6.67,0.5,7.83,2.67,10.17,27.84
Egypt,2012,7.25,0.5,6.75,2.5,10.75,27.75
Egypt,2013,7.5,0.5,7.25,2.25,10.5,28
El Salvador,1984,4,1.98,3.96,3.96,5.94,19.84
El Salvador,1985,5.58,1.67,3.33,3.33,5,18.91
El Salvador,1986,4.38,1.67,3.33,3.33,5,17.71
El Salvador,1987,3.67,1.32,2.64,2.64,3.96,14.23
El Salvador,1988,4.33,1.25,2.5,2.5,3.75,14.33
El Salvador,1989,4.67,1.25,2.5,2.5,3.75,14.67
El Salvador,1990,5,1.25,2.5,2.5,3.75,15
El Salvador,1991,5.71,1.25,2.5,2.5,3.75,15.71
El Salvador,1992,6.46,1.81,3.61,3.61,5.42,20.91
El Salvador,1993,7,2.08,4.17,4.17,6.25,23.67
El Salvador,1994,6.75,2.19,4.38,4.38,6.56,24.26
El Salvador,1995,7.13,2.5,5,5,7.5,27.13
El Salvador,1996,7.21,2.5,5,5,7.5,27.21
El Salvador,1997,8.13,2.14,6.61,5.95,8.75,31.58
El Salvador,1998,9.28,1,9,7,10.46,36.74
El Salvador,1999,9.5,0.81,8.92,6.92,12.13,38.28
El Salvador,2000,10,1,8.5,6.5,10.5,36.5
El Salvador,2001,9.96,1.04,7.96,6.5,10.21,35.67
El Salvador,2002,9.75,1.38,7.5,6.5,10.5,35.63
El Salvador,2003,9.5,1.25,8,6.33,10.5,35.58
El Salvador,2004,8.96,1.08,8.25,6.5,10.13,34.92
El Salvador,2005,8.88,1,7,6.88,10,33.76
El Salvador,2006,8.88,1,8.38,6.25,10.38,34.89
El Salvador,2007,8.75,1,8.75,6,10.04,34.54
El Salvador,2008,8.5,1,8.25,6.92,9.75,34.42
El Salvador,2009,9.5,1,5.67,7.17,10.5,33.84
El Salvador,2010,9.54,1,7.08,5.92,10.54,34.08
El Salvador,2011,8.92,1,7.13,7.29,10.38,34.72
El Salvador,2012,8.5,1,7.5,5.63,10.38,33.01
El Salvador,2013,8.67,1,7.42,5.5,10.42,33.01
Estonia,1984,NA,NA,NA,NA,NA,0
Estonia,1985,NA,NA,NA,NA,NA,0
Estonia,1986,NA,NA,NA,NA,NA,0
Estonia,1987,NA,NA,NA,NA,NA,0
Estonia,1988,NA,NA,NA,NA,NA,0
Estonia,1989,NA,NA,NA,NA,NA,0
Estonia,1990,NA,NA,NA,NA,NA,0
Estonia,1991,NA,NA,NA,NA,NA,0
Estonia,1992,NA,NA,NA,NA,NA,0
Estonia,1993,NA,NA,NA,NA,NA,0
Estonia,1994,NA,NA,NA,NA,NA,0
Estonia,1995,NA,NA,NA,NA,NA,0
Estonia,1996,NA,NA,NA,NA,NA,0
Estonia,1997,NA,NA,NA,NA,NA,0
Estonia,1998,6.28,NA,NA,NA,NA,6.28
Estonia,1999,8.21,1.87,8.83,7.92,8.21,35.04
Estonia,2000,9,2.5,8.92,7.17,9.83,37.42
Estonia,2001,9,2.42,9.5,8,9.5,38.42
Estonia,2002,9,2.5,9,8,9.5,38
Estonia,2003,9,2.5,9,8,9.5,38
Estonia,2004,9.58,2.08,9,8,9.5,38.16
Estonia,2005,9,3,9,9,9,39
Estonia,2006,9,3,9,9,9,39
Estonia,2007,9,3,10,8.08,8.08,38.16
Estonia,2008,8.25,3,8.75,8.75,7.75,36.5
Estonia,2009,8.33,2.67,5,8.33,8.17,32.5
Estonia,2010,9.88,2.75,1.63,6.63,10.25,31.14
Estonia,2011,8.5,3.5,8,8.5,12,40.5
Estonia,2012,8.88,3.5,7.63,7,12.75,39.76
Estonia,2013,9,3.29,7.71,6.71,13,39.71
Ethiopia,1984,NA,NA,NA,NA,NA,0
Ethiopia,1985,4,0.45,0.9,0.9,1.35,7.6
Ethiopia,1986,4.5,0.42,0.83,0.83,1.25,7.83
Ethiopia,1987,5,0.76,1.53,1.53,2.29,11.11
Ethiopia,1988,5,1.08,2.15,2.15,3.23,13.61
Ethiopia,1989,4.5,1.67,3.33,3.33,5,17.83
Ethiopia,1990,5.5,1.49,2.99,2.99,4.48,17.45
Ethiopia,1991,7,1.42,2.85,2.85,4.27,18.39
Ethiopia,1992,6,0.83,1.67,1.67,2.5,12.67
Ethiopia,1993,6.25,0.83,1.67,1.67,2.5,12.92
Ethiopia,1994,7,0.83,1.67,1.67,2.5,13.67
Ethiopia,1995,7.42,1.35,2.71,2.71,4.06,18.25
Ethiopia,1996,8.29,2.22,4.45,4.45,6.67,26.08
Ethiopia,1997,9.96,2.05,7.43,5.22,9.69,34.35
Ethiopia,1998,9.04,0,10,5.79,10.83,35.66
Ethiopia,1999,7.88,0,9.25,3.5,9.79,30.42
Ethiopia,2000,8,0,9,3.5,10.5,31
Ethiopia,2001,8.38,0,9.88,4.5,10.13,32.89
Ethiopia,2002,8.88,0,9.63,4.5,9.5,32.51
Ethiopia,2003,10,0,10,3.5,9.5,33
Ethiopia,2004,10,0,10,3.5,9.5,33
Ethiopia,2005,7.5,0,10,3.5,9.5,30.5
Ethiopia,2006,6.5,0,10,3.5,10,30
Ethiopia,2007,6.5,0,9.54,4.88,8.63,29.55
Ethiopia,2008,6.17,0,9.83,4.67,9.17,29.84
Ethiopia,2009,4.75,0,10,5.54,9.71,30
Ethiopia,2010,3.5,0,10,6.92,9.92,30.34
Ethiopia,2011,8.25,0,10,7.5,9,34.75
Ethiopia,2012,6.21,0,10,7.04,9.04,32.29
Ethiopia,2013,6,0,10,6.5,9.5,32
Finland,1984,7.96,4.31,8.61,8.61,12.92,42.41
Finland,1985,8.46,4.17,8.34,8.34,12.5,41.81
Finland,1986,8.96,3.99,7.99,7.99,11.98,40.91
Finland,1987,8.83,4.1,8.2,8.2,12.29,41.62
Finland,1988,8.67,3.54,7.08,7.08,10.63,37
Finland,1989,8.29,3.33,6.67,6.67,10,34.96
Finland,1990,8,3.23,6.46,6.46,9.69,33.84
Finland,1991,8.25,2.54,5.07,5.07,7.61,28.54
Finland,1992,9.17,2.22,4.45,4.45,6.67,26.96
Finland,1993,8.5,2.08,4.17,4.17,6.25,25.17
Finland,1994,9.21,2.12,4.24,4.24,6.36,26.17
Finland,1995,9.08,2.71,5.35,5.35,8.02,30.51
Finland,1996,9.67,2.64,5.21,5.21,7.81,30.54
Finland,1997,10,3.65,6.96,6.29,10.27,37.17
Finland,1998,9.88,5,9.04,7.08,13.25,44.25
Finland,1999,10,4.49,8.38,7.83,13.17,43.87
Finland,2000,9.63,5,9.08,10,13.5,47.21
Finland,2001,9.46,5,8.5,10,13.46,46.42
Finland,2002,10,5,6.75,10,13.17,44.92
Finland,2003,9.92,5,7.46,8.88,13.92,45.18
Finland,2004,10,5,7.75,7.67,13.75,44.17
Finland,2005,10,5,8,7.92,13.58,44.5
Finland,2006,10,5,8.42,8.33,13.08,44.83
Finland,2007,10,5,8.08,9,13.83,45.91
Finland,2008,9.25,4.75,7.88,9.75,13.83,45.46
Finland,2009,9.92,5,2.54,7.21,12.58,37.25
Finland,2010,10,5,3.5,6,12.25,36.75
Finland,2011,9.13,5,7.71,6.71,12.5,41.05
Finland,2012,9.21,5,5.54,6.79,11.33,37.87
Finland,2013,9.71,5,5.38,6.79,11,37.88
France,1984,8,2.78,5.56,5.56,8.34,30.24
France,1985,8,3.44,6.88,6.88,10.31,35.51
France,1986,8.5,3.4,6.81,6.81,10.21,35.73
France,1987,8.88,3.33,6.67,6.67,10,35.55
France,1988,8.75,3.33,6.67,6.67,10,35.42
France,1989,8.75,3.33,6.67,6.67,10,35.42
France,1990,8.71,3.47,6.95,6.95,10.42,36.5
France,1991,8.5,3.09,6.18,6.18,9.27,33.22
France,1992,9,2.78,5.56,5.56,8.34,31.24
France,1993,9.25,2.22,4.45,4.45,6.67,27.04
France,1994,9.5,2.15,4.31,4.31,6.46,26.73
France,1995,9.5,2.71,5.42,5.42,8.13,31.18
France,1996,9.54,2.88,5.77,5.77,8.65,32.61
France,1997,10,3.61,6.39,5.85,10,35.85
France,1998,10,5,8,6,12.75,41.75
France,1999,10,4.49,7.42,6.5,13,41.41
France,2000,10,5,8.5,7,13,43.5
France,2001,9.79,5,7.71,7.5,12.83,42.83
France,2002,10,5,6.63,7.5,12.83,41.96
France,2003,10,5,6.46,6.25,12.67,40.38
France,2004,9.54,5,7.08,5.75,12.54,39.91
France,2005,9.75,5,7.21,6,11.75,39.71
France,2006,9.79,5,7.21,6.33,10.83,39.16
France,2007,9.96,5,7.04,6.5,10.75,39.25
France,2008,9.33,5,6.83,6.5,10.83,38.49
France,2009,9.75,5,3.29,4.67,10.08,32.79
France,2010,10,5,4.17,3.5,10.5,33.17
France,2011,9.58,5,6.83,4.33,10.5,36.24
France,2012,9.5,5,5.38,5.33,10.5,35.71
France,2013,10,5,5,5.71,10.75,36.46
Gabon,1984,7,2.95,5.9,5.9,8.86,30.61
Gabon,1985,7.67,2.92,5.83,5.83,8.75,31
Gabon,1986,7.5,2.71,5.42,5.42,8.13,29.18
Gabon,1987,8.42,2.15,4.31,4.31,6.46,25.65
Gabon,1988,9.08,2.26,4.51,4.51,6.77,27.13
Gabon,1989,9.5,2.19,4.38,4.38,6.56,27.01
Gabon,1990,9.42,2.26,4.51,4.51,6.77,27.47
Gabon,1991,8.33,2.08,4.17,4.17,6.25,25
Gabon,1992,8.58,2.08,4.17,4.17,6.25,25.25
Gabon,1993,8.58,2.08,4.17,4.17,6.25,25.25
Gabon,1994,7.75,1.7,3.4,3.4,5.11,21.36
Gabon,1995,6.63,1.67,3.33,3.33,5,19.96
Gabon,1996,7.67,1.67,3.33,3.33,5,21
Gabon,1997,9.75,2.08,5.36,5.03,8.19,30.41
Gabon,1998,8.79,2.46,8.5,7.33,13.17,40.25
Gabon,1999,9.92,2.14,8.5,7.38,13.04,40.98
Gabon,2000,8.75,2.79,7,7,12.5,38.04
Gabon,2001,9.46,2.38,5.42,9.58,13.29,40.13
Gabon,2002,10,2.5,4.63,9,10.5,36.63
Gabon,2003,9.5,2.38,7,9,9.88,37.76
Gabon,2004,9.83,2.21,7.08,9.67,10.75,39.54
Gabon,2005,9.71,2.33,7.21,10,14.83,44.08
Gabon,2006,10,2.5,7.75,10,15,45.25
Gabon,2007,8.88,2.5,8.63,10,15,45.01
Gabon,2008,8.67,2.5,8.83,10,15,45
Gabon,2009,8.92,2.58,6.92,10,13.92,42.34
Gabon,2010,8.67,2.5,7.83,10,14.33,43.33
Gabon,2011,9.42,2.5,9.42,10,14.92,46.26
Gabon,2012,9.17,2.5,8.92,10,14.54,45.13
Gabon,2013,9.5,2.5,9.96,8.33,14.21,44.5
Gambia,1984,NA,NA,NA,NA,NA,0
Gambia,1985,NA,NA,NA,NA,NA,0
Gambia,1986,3.83,2.5,5,5,7.5,23.83
Gambia,1987,3.5,2.5,5,5,7.5,23.5
Gambia,1988,4.33,2.71,5.42,5.42,8.13,26.01
Gambia,1989,5.17,2.33,4.65,4.65,6.98,23.78
Gambia,1990,7.04,2.29,4.58,4.58,6.88,25.37
Gambia,1991,7.58,2.78,5.56,5.56,8.34,29.82
Gambia,1992,7.33,2.92,5.83,5.83,8.75,30.66
Gambia,1993,7.5,2.5,5,5,7.5,27.5
Gambia,1994,7.42,2.5,5,5,7.5,27.42
Gambia,1995,8.42,0.97,2.22,2.22,3.33,17.16
Gambia,1996,8.71,1.18,2.36,2.36,3.54,18.15
Gambia,1997,9.75,1.53,5.89,6.39,8.25,31.81
Gambia,1998,9.38,0,8.5,8.13,9.96,35.97
Gambia,1999,8.83,0,8.96,6.42,8.58,32.79
Gambia,2000,9.29,0,9,6.5,8.83,33.62
Gambia,2001,8.79,0,9.21,6.29,9.33,33.62
Gambia,2002,8.71,0,9.42,6.21,10.29,34.63
Gambia,2003,9,0,10,6.5,10,35.5
Gambia,2004,9,0,10,6.5,10,35.5
Gambia,2005,8.5,0,10,5.5,10,34
Gambia,2006,8.5,0,10,5.5,10,34
Gambia,2007,8.96,0,9.54,4.58,9.54,32.62
Gambia,2008,8.79,0,9.71,6.79,10.13,35.42
Gambia,2009,8.29,0,9.38,6.88,9.75,34.3
Gambia,2010,8,0,9.33,5.42,7.96,30.71
Gambia,2011,8,0,9.5,6,8,31.5
Gambia,2012,8.21,0,7,6,7.17,28.38
Gambia,2013,8.5,0,7.29,6.29,6.58,28.66
Germany,1984,NA,NA,NA,NA,NA,0
Germany,1985,NA,NA,NA,NA,NA,0
Germany,1986,NA,NA,NA,NA,NA,0
Germany,1987,NA,NA,NA,NA,NA,0
Germany,1988,NA,NA,NA,NA,NA,0
Germany,1989,NA,NA,NA,NA,NA,0
Germany,1990,NA,NA,NA,NA,NA,0
Germany,1991,8.5,3.16,6.32,6.32,9.48,33.78
Germany,1992,8.63,2.64,5.28,5.28,7.92,29.75
Germany,1993,8.5,1.91,3.82,3.82,5.73,23.78
Germany,1994,9,1.98,3.96,3.96,5.94,24.84
Germany,1995,9.5,2.6,5.21,5.21,7.81,30.33
Germany,1996,9.75,2.74,5.49,5.49,8.23,31.7
Germany,1997,10,3.68,6.53,6.03,9.88,36.12
Germany,1998,9.96,5,7.96,6.29,11.75,40.96
Germany,1999,10,4.59,7.04,6.96,11.5,40.09
Germany,2000,9.96,5,8.29,7.25,11.5,42
Germany,2001,9.88,5,7.08,7,11.5,40.46
Germany,2002,10,5,6,6.54,11.71,39.25
Germany,2003,10,5,5.79,6.29,12.54,39.62
Germany,2004,10,5,6.96,6,13,40.96
Germany,2005,10,5,6.71,6,13,40.71
Germany,2006,10,5,7,7.88,13.5,43.38
Germany,2007,9.5,5,7.25,7.5,13.5,42.75
Germany,2008,9.5,5,7.38,8.13,13.63,43.64
Germany,2009,9.96,4.79,2.04,6.08,13.42,36.29
Germany,2010,10,5.58,6.5,5.96,13.17,41.21
Germany,2011,9.38,5,7.38,6.92,13.04,41.72
Germany,2012,9.88,5,5.67,7.04,13.25,40.84
Germany,2013,9.88,5,5.88,7.63,13.63,42.02
Ghana,1984,2.5,0.94,1.88,1.88,2.81,10.01
Ghana,1985,3.5,1.7,3.4,3.4,5.11,17.11
Ghana,1986,4,2.22,4.45,4.45,6.67,21.79
Ghana,1987,3.79,2.08,4.17,4.17,6.25,20.46
Ghana,1988,4,2.57,5.14,5.14,7.71,24.56
Ghana,1989,5.79,2.92,5.83,5.83,8.75,29.12
Ghana,1990,4.83,2.92,5.83,5.83,8.75,28.16
Ghana,1991,5.42,2.92,5.83,5.83,8.75,28.75
Ghana,1992,6.88,2.92,5.83,5.83,8.75,30.21
Ghana,1993,6.42,2.92,5.83,5.83,8.75,29.75
Ghana,1994,5.83,2.81,5.63,5.63,8.44,28.34
Ghana,1995,5.13,2.29,4.58,4.58,6.88,23.46
Ghana,1996,3.42,2.08,4.17,4.17,6.25,20.09
Ghana,1997,3.63,1.53,6.22,5.39,8.08,24.85
Ghana,1998,4.83,0,8.67,4.5,9.92,27.92
Ghana,1999,5.67,0.03,8.58,4.5,10.25,29.03
Ghana,2000,6.29,0,8.79,4.33,9.5,28.91
Ghana,2001,4.04,0,8.5,4.5,9.13,26.17
Ghana,2002,6,0,8.71,4.5,9.88,29.09
Ghana,2003,5.83,0,8.83,5.83,10.21,30.7
Ghana,2004,5.83,0,9.42,5.92,10.83,32
Ghana,2005,5.67,0,9.5,6.67,10.75,32.59
Ghana,2006,6.83,0.83,9.5,6.08,10.5,33.74
Ghana,2007,7.63,1,9.96,6,9.5,34.09
Ghana,2008,7.08,0.92,10,4.75,8.92,31.67
Ghana,2009,6.54,0.79,9.54,2.67,8.54,28.08
Ghana,2010,6.96,0.04,9.17,3.42,9.21,28.8
Ghana,2011,7.46,0,9.96,4.67,10.08,32.17
Ghana,2012,7.29,0.21,10,4.83,9.83,32.16
Ghana,2013,7,0.5,10,3.92,8.96,30.38
Greece,1984,5.38,2.08,4.17,4.17,6.25,22.05
Greece,1985,5.25,1.91,3.82,3.82,5.73,20.53
Greece,1986,5.42,1.67,3.33,3.33,5,18.75
Greece,1987,6.21,2.22,4.45,4.45,6.67,24
Greece,1988,6.04,2.5,5,5,7.5,26.04
Greece,1989,6.17,2.36,4.72,4.72,7.08,25.05
Greece,1990,5.67,1.63,3.26,3.26,4.9,18.72
Greece,1991,5.13,1.25,2.5,2.5,3.75,15.13
Greece,1992,6.33,1.46,2.92,2.92,4.38,18.01
Greece,1993,6.67,1.88,3.75,3.75,5.63,21.68
Greece,1994,7,2.15,4.31,4.31,6.46,24.23
Greece,1995,7.25,2.57,5.14,5.14,7.71,27.81
Greece,1996,7.58,2.5,5,5,7.5,27.58
Greece,1997,8.13,2.97,6.28,5.45,8.92,31.75
Greece,1998,8.5,3.54,8.46,5.79,10.29,36.58
Greece,1999,9.17,3.23,8.5,6.5,10.5,37.9
Greece,2000,9.42,4,8.5,7,10.21,39.13
Greece,2001,9.21,4,8.92,7.88,9.88,39.89
Greece,2002,9.29,3.54,8.38,8,9.75,38.96
Greece,2003,9.13,4,8.5,6.67,9.42,37.72
Greece,2004,9.21,4,8.54,5.83,9.71,37.29
Greece,2005,9,4,8.5,5,9.79,36.29
Greece,2006,9,4,8.5,5.67,9.42,36.59
Greece,2007,9.33,4,8.38,6.33,8.42,36.46
Greece,2008,9.04,4.5,8.08,6.38,7.71,35.71
Greece,2009,9.63,4.5,4,4.75,8.25,31.13
Greece,2010,9.5,4.25,1.58,2.25,9.58,27.16
Greece,2011,8.75,4,0.75,3.25,9.75,26.5
Greece,2012,9.58,4,0.17,3.67,9.5,26.92
Greece,2013,10,3.54,0.75,5,11.5,30.79
Guatemala,1984,8.5,2.29,4.58,4.58,6.88,26.83
Guatemala,1985,8,1.46,2.92,2.92,4.38,19.68
Guatemala,1986,3.75,1.25,2.5,2.5,3.75,13.75
Guatemala,1987,3.33,1.35,2.71,2.71,4.06,14.16
Guatemala,1988,5.38,1.88,3.75,3.75,5.63,20.39
Guatemala,1989,6.5,2.08,4.17,4.17,6.25,23.17
Guatemala,1990,5.33,2.01,4.03,4.03,6.04,21.44
Guatemala,1991,4,2.05,4.1,4.1,6.15,20.4
Guatemala,1992,5.04,2.43,4.86,4.86,7.29,24.48
Guatemala,1993,7,2.26,4.51,4.51,6.77,25.05
Guatemala,1994,6.79,2.08,4.17,4.17,6.25,23.46
Guatemala,1995,7,2.64,5.28,5.28,7.92,28.12
Guatemala,1996,7.21,2.92,5.83,5.83,8.75,30.54
Guatemala,1997,7.08,2.44,7.13,6.46,9.27,32.38
Guatemala,1998,7.75,0.63,9.08,7.17,10.08,34.71
Guatemala,1999,8.21,0.76,8.63,6.67,10.08,34.35
Guatemala,2000,7.88,1,9,7,10.5,35.38
Guatemala,2001,7.75,1,8.54,7,10.29,34.58
Guatemala,2002,7.96,1,7.54,7,9.54,33.04
Guatemala,2003,7.58,1,7.88,7,9.96,33.42
Guatemala,2004,8.13,1,8.08,6.58,10,33.79
Guatemala,2005,7.71,0.96,8.5,6.75,10,33.92
Guatemala,2006,8.38,1,8.5,7,10,34.88
Guatemala,2007,8.29,1,8.96,6.75,10,35
Guatemala,2008,7.25,0.63,9,7,8.92,32.8
Guatemala,2009,7.75,0.88,7.13,7,10.17,32.93
Guatemala,2010,8.71,1,6.71,6.17,10.5,33.09
Guatemala,2011,8.38,1,7.67,6,10.29,33.34
Guatemala,2012,8.42,0.92,8.33,6.33,10.5,34.5
Guatemala,2013,8.5,0.5,8.5,6.5,10.5,34.5
Guinea,1984,NA,1.3,2.6,2.6,3.91,10.41
Guinea,1985,NA,1.67,3.33,3.33,5,13.33
Guinea,1986,NA,1.91,3.82,3.82,5.73,15.28
Guinea,1987,NA,2.08,4.17,4.17,6.25,16.67
Guinea,1988,NA,2.08,4.17,4.17,6.25,16.67
Guinea,1989,NA,2.08,4.17,4.17,6.25,16.67
Guinea,1990,NA,2.08,4.17,4.17,6.25,16.67
Guinea,1991,NA,2.08,4.17,4.17,6.25,16.67
Guinea,1992,NA,2.08,4.17,4.17,6.25,16.67
Guinea,1993,NA,2.08,4.17,4.17,6.25,16.67
Guinea,1994,NA,2.08,4.17,4.17,6.25,16.67
Guinea,1995,0,2.08,4.17,4.17,6.25,16.67
Guinea,1996,8.5,2.22,4.45,4.45,6.67,26.29
Guinea,1997,8.5,1.74,6.47,5.14,8.21,30.06
Guinea,1998,8.5,0.04,9.29,5,9.46,32.29
Guinea,1999,8.96,0.2,9.5,4.92,9.63,33.21
Guinea,2000,9,0.5,9.5,5,10,34
Guinea,2001,8.21,0.5,8.75,6.29,10.08,33.83
Guinea,2002,8,0.5,8.5,6.5,10.5,34
Guinea,2003,8.38,0.5,8.75,6.25,10.88,34.76
Guinea,2004,7.46,0.29,8.75,5,10.08,31.58
Guinea,2005,5.54,0,8.5,5.29,9.96,29.29
Guinea,2006,4.96,0,9.13,6.71,10.13,30.93
Guinea,2007,5.33,0,9.13,6.67,10.04,31.17
Guinea,2008,5.5,0,8.67,5.17,9.5,28.84
Guinea,2009,6.88,0,8.25,2.38,10,27.51
Guinea,2010,6.96,0,7.58,6.38,9.46,30.38
Guinea,2011,5.13,0,8.58,5.04,8.42,27.17
Guinea,2012,5.63,0,9,5.75,8.63,29.01
Guinea,2013,7,0,9,6.29,0.71,23
Guinea Bissau,1984,NA,NA,NA,NA,NA,0
Guinea Bissau,1985,NA,NA,NA,NA,NA,0
Guinea Bissau,1986,NA,1.91,3.82,3.82,5.73,15.28
Guinea Bissau,1987,NA,1.67,3.33,3.33,5,13.33
Guinea Bissau,1988,NA,1.91,3.82,3.82,5.73,15.28
Guinea Bissau,1989,NA,2.22,4.45,4.45,6.67,17.79
Guinea Bissau,1990,NA,2.5,5,5,7.5,20
Guinea Bissau,1991,NA,2.5,5,5,7.5,20
Guinea Bissau,1992,NA,2.5,5,5,7.5,20
Guinea Bissau,1993,NA,2.5,5,5,7.5,20
Guinea Bissau,1994,NA,2.5,5,5,7.5,20
Guinea Bissau,1995,0,2.5,5,5,7.5,20
Guinea Bissau,1996,3.22,2.5,5,5,7.5,23.22
Guinea Bissau,1997,2.58,1.7,6.4,4.07,7.11,21.86
Guinea Bissau,1998,4.46,0,8.71,2,6,21.17
Guinea Bissau,1999,6.79,0,9.21,1.96,5.79,23.75
Guinea Bissau,2000,9.67,0,10,0.5,2.75,22.92
Guinea Bissau,2001,9.5,0,10,1,4,24.5
Guinea Bissau,2002,9,0,10,1,6,26
Guinea Bissau,2003,9,0,10,1,6,26
Guinea Bissau,2004,9,0,10,1,6,26
Guinea Bissau,2005,9,0,10,1,6,26
Guinea Bissau,2006,9.5,0,10,1,6,26.5
Guinea Bissau,2007,9.5,0,9.5,4.21,8.75,31.96
Guinea Bissau,2008,9.5,0,8.67,3.67,9,30.84
Guinea Bissau,2009,8.38,0,7,4.63,9.75,29.76
Guinea Bissau,2010,8.33,0,7.83,4.33,9.67,30.16
Guinea Bissau,2011,8.5,0,8.5,4,9.5,30.5
Guinea Bissau,2012,8.5,0,8.83,5,9.17,31.5
Guinea Bissau,2013,9,0,8.75,6.5,9.5,33.75
Guyana,1984,5,1.67,3.33,3.33,5,18.33
Guyana,1985,5,1.67,3.33,3.33,5,18.33
Guyana,1986,5,1.67,3.33,3.33,5,18.33
Guyana,1987,4.96,1.67,3.33,3.33,5,18.29
Guyana,1988,4.75,1.81,3.61,3.61,5.42,19.2
Guyana,1989,4,2.08,4.17,4.17,6.25,20.67
Guyana,1990,3,2.08,4.17,4.17,6.25,19.67
Guyana,1991,1.42,2.5,5,5,7.5,21.42
Guyana,1992,1.63,2.5,5,5,7.5,21.63
Guyana,1993,5.33,2.5,5,5,7.5,25.33
Guyana,1994,7,2.5,5,5,7.5,27
Guyana,1995,6.21,2.5,5,5,7.5,26.21
Guyana,1996,7.5,2.5,5,5,7.5,27.5
Guyana,1997,7.42,1.94,6.71,5.54,8.15,29.76
Guyana,1998,8.5,0.5,9.88,5.63,8.5,33.01
Guyana,1999,8.29,0.37,7.67,7.5,8.5,32.33
Guyana,2000,7.67,0.5,7.08,5.88,8.29,29.42
Guyana,2001,7.92,0.5,7.83,5.5,7.5,29.25
Guyana,2002,8.5,0.5,7.13,3.5,7.21,26.84
Guyana,2003,8.5,0.5,6.92,4.42,6.96,27.3
Guyana,2004,8.5,0.5,7.08,3.33,7.67,27.08
Guyana,2005,8.5,0.5,6.83,3,8.08,26.91
Guyana,2006,8.04,0.5,7.46,4,8.92,28.92
Guyana,2007,8.29,0.5,9,3,7,27.79
Guyana,2008,8,0,8.75,3,2.63,22.38
Guyana,2009,8.42,0.38,6.83,3.75,2.79,22.17
Guyana,2010,8.5,0.5,7,4.5,7.75,28.25
Guyana,2011,8.5,0.5,8.46,5.21,8.5,31.17
Guyana,2012,8.54,0.5,9.38,5.92,3.83,28.17
Guyana,2013,8.71,0.54,9.08,5.5,7.63,31.46
Haiti,1984,4,1.67,3.33,3.33,5,17.33
Haiti,1985,4,1.67,3.33,3.33,5,17.33
Haiti,1986,6,1.49,2.99,2.99,4.48,17.95
Haiti,1987,6.92,1.15,2.29,2.29,3.44,16.09
Haiti,1988,8,0.42,0.83,0.83,1.25,11.33
Haiti,1989,8.5,0.42,0.83,0.83,1.25,11.83
Haiti,1990,8.5,0.42,0.83,0.83,1.25,11.83
Haiti,1991,7.04,0.69,1.39,1.39,2.08,12.59
Haiti,1992,5,0.42,0.83,0.83,1.25,8.33
Haiti,1993,5,0.42,0.83,0.83,1.25,8.33
Haiti,1994,5,0.49,0.97,0.97,1.46,8.89
Haiti,1995,3.67,1.11,2.22,2.22,3.33,12.55
Haiti,1996,4.92,1.35,2.71,2.71,4.06,15.75
Haiti,1997,6.33,1.18,5.19,4.69,6.04,23.43
Haiti,1998,5.88,0,8,6.75,8,28.63
Haiti,1999,7.79,0.03,7,7.67,9.96,32.45
Haiti,2000,7.13,0,7.5,7,10,31.63
Haiti,2001,7,0,7.5,6.04,9.92,30.46
Haiti,2002,6.5,0,4.92,6,10.21,27.63
Haiti,2003,5.92,0,4.5,6,9.71,26.13
Haiti,2004,5.08,0,5.46,5.96,10.42,26.92
Haiti,2005,5.17,0,4.83,6.17,11.71,27.88
Haiti,2006,6.67,0,7.58,5.67,11.33,31.25
Haiti,2007,7.13,0,8.25,6.75,11,33.13
Haiti,2008,7.5,0,8.5,8,11,35
Haiti,2009,7.25,0,7.08,6.46,9.13,29.92
Haiti,2010,9.58,0,5.83,5.92,9.17,30.5
Haiti,2011,7.5,0,6,5.5,5.5,24.5
Haiti,2012,7.5,0,9.92,4.63,9.54,31.59
Haiti,2013,8,0,8.79,4.79,10,31.58
Honduras,1984,7.13,2.26,4.51,4.51,6.77,25.18
Honduras,1985,8.08,2.08,4.17,4.17,6.25,24.75
Honduras,1986,8.5,2.08,4.17,4.17,6.25,25.17
Honduras,1987,8.5,2.08,4.17,4.17,6.25,25.17
Honduras,1988,8.5,1.98,3.96,3.96,5.94,24.34
Honduras,1989,8.38,2.08,4.17,4.17,6.25,25.05
Honduras,1990,6.33,2.29,4.58,4.58,6.88,24.66
